loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.924131989479065,1.4353352785110474,0.0002,1.8526552319526672,1335.0,0.569146953523159,0.17391304347826086,1,,,,,,,,,,,,
1.883529782295227,1.2523654699325562,0.00018888888888888888,1.7982455790042877,2701.0,0.6051579415798187,0.34782608695652173,2,,,,,,,,,,,,
1.838085651397705,1.2859491109848022,0.00017777777777777779,1.7695424854755402,4056.0,0.6179232895374298,0.5217391304347826,3,,,,,,,,,,,,
2.119424343109131,1.3681838512420654,0.0001666666666666667,2.092995047569275,5101.0,0.5483983606100082,0.6956521739130435,4,,,,,,,,,,,,
1.8217464685440063,1.2342677116394043,0.00015555555555555556,1.9418587386608124,6275.0,0.5987560525536537,0.8695652173913043,5,,,,,,,,,,,,
1.6503491401672363,1.2663099765777588,0.00014444444444444444,1.7313780784606934,7327.0,0.6596084833145142,1.0,6,,,,,,,,,,,,
,,,,,,1.0,6,2.131186008453369,1.7383,6.903,3.452,2.028253515561422,7327.0,0.5999619712432226,,,,,
1.7638094425201416,1.159032940864563,0.00013333333333333334,1.8942293226718903,8522.0,0.6041888743638992,1.1739130434782608,7,,,,,,,,,,,,
1.663116216659546,1.1125081777572632,0.00012222222222222224,1.84881129860878,9725.0,0.6323110610246658,1.3478260869565217,8,,,,,,,,,,,,
1.6128283739089966,1.1057944297790527,0.00011111111111111112,1.8045894801616669,10900.0,0.6369965150952339,1.5217391304347827,9,,,,,,,,,,,,
1.4870522022247314,1.09152090549469,0.0001,1.749283105134964,12256.0,0.6498724073171616,1.6956521739130435,10,,,,,,,,,,,,
1.5555089712142944,1.0919520854949951,8.888888888888889e-05,1.748080551624298,13440.0,0.6518649011850357,1.8695652173913042,11,,,,,,,,,,,,
1.291717529296875,1.0878708362579346,7.777777777777778e-05,1.4561350345611572,14654.0,0.7161810199419657,2.0,12,,,,,,,,,,,,
,,,,,,2.0,12,1.9318307638168335,1.0391,11.548,5.774,1.8832982579867046,14654.0,0.6302056610584259,,,,,
1.4163062572479248,1.0837537050247192,6.666666666666667e-05,1.6469218730926514,16004.0,0.6726453900337219,2.1739130434782608,13,,,,,,,,,,,,
1.648378610610962,1.2306007146835327,5.555555555555556e-05,1.9322408735752106,17023.0,0.6154065504670143,2.3478260869565215,14,,,,,,,,,,,,
1.31435227394104,1.0982013940811157,4.4444444444444447e-05,1.5425277948379517,18367.0,0.6962939202785492,2.5217391304347827,15,,,,,,,,,,,,
1.3523054122924805,1.0701508522033691,3.3333333333333335e-05,1.4874475300312042,19738.0,0.7134214639663696,2.6956521739130435,16,,,,,,,,,,,,
1.4535582065582275,1.1616591215133667,2.2222222222222223e-05,1.6816352307796478,20927.0,0.6702965497970581,2.869565217391304,17,,,,,,,,,,,,
1.2799174785614014,1.1486787796020508,1.1111111111111112e-05,1.4656462669372559,21981.0,0.7209661404291788,3.0,18,,,,,,,,,,,,
,,,,,,3.0,18,1.8597370386123657,0.5162,23.248,11.624,1.8302078644434612,21981.0,0.6462427973747253,,,,,
,,,,,,3.0,18,,,,,,,,51.9084,2.659,0.347,59029145826816.0,1.615339908334944
